,source,edge,target
1178,7 ground rent,assumed before,final assessment period
1179,agricultural  land,Usufruct,legal  owner
1180,only  usufructuary,applies,beneficial  exception
1181,same,applies,agricultural  properties
1182,3000 sqm limit,refer to,individual land taxpayer
1184,decisive  factor,is,agricultural  holding
1185,1500 weekend property,is,private  assets
1186,square  it,counts as private,private  assets
1187,arable vineyard area,apply,also business assets
1188,square tree meters,leased for,120 tree year
1189,area,is larger,square tree meters
1190,All,belong to,agricultural business assets
1192,1970 lease income,leased,private Section V
1193,long term profit,be,2 Section b
1194,above  decision,is,used  areas
1195,agriculture business they,are,legal  owner
1196,that,is,therefore business assets
1197,economic  claim,.,economic  significance
1198,prerequisites,met in exceptional,exceptional property land
1199,one  parent,exist,her
1200,administrative  rights,land,permanently  property
1201,free  transfer,constitute beneficial,beneficial  ownership
1202,3 Property regime Allocation,result from,corporate property spouses
1203,general property distinction,made between,common  property
1204,joint  property,S,18 2 1959
1207,property,is,agricultural business assets
1208,they,matter,conditional  spouse
1209,common  half,is attributable,spouse
1210,Land,is,fully  spouse
1211,that,managed within,fully business owner
1212,Properties,are,only business assets
1213,Land,is,common business owner
1214,same,applies to,1981 II p
1215,particular  it,exists in,strange  partners
1216,contribution,p,minor BFH 3
1218,tacit partnership which,founded by,partnership agreement
1222,other employment spouse,p,however  27
1224,free  Section,apply,free  charge
1225,hidden  reserves,realized,business assets
1226,1  EStDV,applied,transfer
1227,certain  conditions,obliged,back  heirs
1228,then  land,become,first business assets
1229,condition,is,actually  heirs
1230,essential company principles,apply,successor
1231,essential operating principles,include,living operating inventory
1232,company,transferred,whole
1233,company building,p,16  9
1234,transferred  successor,applied,new  acquisitions
1235,farm,operated on,9  land
1237,taxpayer,transfers,square  meters
1238,individual  assets,EStDV,differently  Section
1239,two  that,has,two  land
1241,He,manages,it
1242,square meter he,continues,square meter property
1243,area,retained,minor  area
1244,single  asset,operation as,agricultural  whole
1247,own simplification rule,become,3  taxpayer
1248,Therefore  farmer,given,right
1249,he,Paragraph,Section  V
1250,hidden  reserves,discovered,transferred  areas
1251,privileged abandonment profit,p,1981  BStBl
1255,34 posting EStG,continues,legitimate  expectations
1256,private  this,continues,agricultural  operation
1258,objectively  this,is,special treatment duty
1259,insofar  they,remain,land
1260,7  rule,discontinued after,3  1972
1261,then  he,gave,1  7
1262,special  declaration,required in,cases
1263,1970  plots,belong to private,private  assets
1264,possibility,continuation of,operations
1265,2  leasing,permitted according,III B II Tgb
1266,operational  principles,accepted,single  whole
1267,taxpayer,has,later  time
1268,several  declaration,submitted,uniformly  parties
1269,company,assumed,17  1970
1270,which,applies,3  1972
1271,leased property areas,leased as,necessary business lessor
1272,only  they,is,leased  business
1274,then  they,removed from,business sale
1275,further land that,(,total  area
1276,then ​​10 this,is,entirely business lease
1277,agricultural  operations,arisen through,individual  areas
1278,retained  area,forms,agricultural  operation
1279,individual  areas,leased,therefore  II
1280,agricultural  operations,exist according,3  5
1281,previously business farmer,forced,private  lease
1282,business he,given,Section  IV
1283,it,monitored in,square meter regulation
1284,cultivated Income Tax area,favored according,14 Income Tax Act
1287,continuing  taxpayer,concerns,private business assets
1288,also business who,Section,average Section 13a EStG
1290,arbitrary business assets,considered in,only profit use
1291,originally business they,removed from,2 Income Tax Regulations
1292,farmer,has,square part meters
1293,He,leases,square  meters
1294,he,choose,4000 business it
1295,4000 withdrawal profit,is current,current  §
1296,he,are,himself
1297,farmer,has,square  meters
1298,He,leases,square  meters
1299,taxpayer,leave,square business it
1300,he,has,private business assets
1301,square withdrawal profit,belongs to,possibly
1302,4000  sqm,EStG,current § §
1303,total  profit,favored according,§ §
1304,continued  taxpayer,is,abandonment
1305,lease decree,taken,piece land
1307,only lease business,be,new  acquisitions
1308,when land gain it,belonged to,private land gain taxation
1309,6  lease,is,operational  cessation
1310,However  taxpayer,prevented from,even business lease
1311,which,monitored in,§ §
1312,i,is,longer  agriculture
1315,special  declaration,required,responsibility
1316,1 General Reference,made to,3  11
1318,actual  use,EStG in,real estate cadastre
1319,real starting amount,EStG,Section
1320,legal  provision,regulates,cases
1321,yield figures,carried,3  1972
1322,55 VII application,submitted until,only 31 12
1323,partial  reference,made to,9  6
1324,55  EStG,ruling of,1  1976
1325,partial  value,determined,1  1970
1326,decree,led to,significant  value
1330,partial sales costs,made in,sales sales 6
1332,this,has,record
1333,1974  property,mean,subsequent  determination
1335,subsequent  assessment,has,individual property tax
1337,that,change,agricultural  sector
1338,6 book which,intended,partial rate profits
1339,selling price,taken into,selling costs
1340,prohibition,.,3 value 1972
1341,"3,000 price loss",is,55 Income Tax Act
1343,when  determining,is,3 13a nos
1344,1  2,pointed,decree
1345,12  values,is in,55  EStG
1346,only  land,applies in,fixed  June
1347,1970  land,capitalized at,acquisition
1348,deposit,is,partial  value
1349,inserted production asset,are,prior  contribution
1350,5 starting values,EStG,acquisition costs
1351,land that,justified,prior land gain taxation
1352,4 13a acquisition,are,only business expenses
1353,only sales proceeds,has,acquisition costs
1354,right,belonged to,double starting amount
1355,"150,000 purchase price",agrees with,beginning  1979
1356,commercial  enterprise,St,20 6 1974
1358,legal  questions,decided,4 profit para
1360,hidden  reserves,are,other book reason
1361,agricultural business abandonment,applies,responsible retirement agriculture
1362,agricultural selling price,contains,"24,000 assessment DM"
1364,1971 8 I,S,1971  10
1365,373 § 14a,inserted into,EStG
1366,special  allowances,granted for certain,30 sales 6
1367,18 4 1974 I,S,2  StÄndG
1368,materially unit value,increased from,income limit income DM
1370,8 1977 I,S,1977  16
1371,1 Section 14a EstG,extended to,December
1372,it,extended,December
1373,25 6 1980 I,S,25 6 1980 BStBl
1374,associated  Stpfl,extended to,years  time
1375,4  reintroduction,applies from,1980 calendar year
1376,temporal  scope,follow,previous  regulation
1377,extended tax exemption,is,period
1378,sale that,is,agricultural forestry sale
1379,insofar  allowances,taken into,heirs
1380,that,n,4 14a Paragraph
1383,Special,value,3 lease cases
1384,unit value,presupposes,applicable  sale
1386,leased  determination,is of,rather unit lessee
1387,tax allowance,relate to,permissible  manner
1388,also  leaseholder,decree of,1973 S-2239 3-St
1390,only  part,granted,agricultural  operation
1391,prerequisite,is,exemption
1392,selling price,used within,agricultural selling business
1393,agricultural business assets,is,property
1394,repayment,is,tax 14a EStG
1402,who,fulfilled,legal  legacy
1403,other  heirs,regarded as,provision
1406,capital,gain,i
1409,which,is in,2 calendar Paragraph
1411,same,i,tax exemption
1415,exemption,granted on,only  application
1416,request,relates to,entire capital gain
1417,one calendar application,required,two calendar years
1418,limitation,considered admissible,rata calendar year
1424,capital that,EStG,Section
1427,Severance,pay before,business
1439,taxpayer,remark,26 26b EStG
1440,1  EStG,is,financial  year
1441,profit,includes,1974  DM
1442,taxpayer,EStG,Section 14a
1446,which,income,"426,000 rata DM"
1450,relevant  income,EStG,"48,000 Section 14a"
1452,tax exemption,is,when  agriculture
1453,financial calendar year,are,calendar which
1454,only  which,agree,department
1455,notices,are,special  folder
1456,taxable XIII documents,available at,operational tax tasks
1457,Transfer,unfinished,private  assets
1458,Incoming sales notifications,Questionnaire,Annexes
1459,I,intended for,sale
1460,other  land,is,private  assets
1461,correspondence,filed in,relevant value taxpayer
1463,Deletion,photocopies to,valuation files
1464,forms,are,duplicate
1467,2  Attachment,is,real transfer tax office
1468,intended,forwarded by,first valuation office
1469,necessary land it,add,necessary land notification
1470,assessment body,use,Annex
1471,1  Appendix,made available,already tax offices
1472,estimated  Appendix,sent to,4 tax completion
1476,new unit values,​​are,leased  areas
1477,total unit value,is,leased  businesses
1478,that,is attributable,unit value
1479,they,are,income tax principles
1480,value,evaluated,possible accounting obligation
1481,when  provisions,are,Section
1482,§ 7a,Abs,7  EStG
1483,average 13a EStG,entered,average Income Tax Act
1484,Income Tax who,According to,close  right
1485,you,Paragraphs,6 Section EStG
1486,Reference,made to,127  1975
1487,6 Section EStG,results from,2 13a EStG
1488,basic  amount,EStG,Section 13a
1490,uses,is,financial year this
1491,when unit value,taken into,only  account
1492,business,assumed,paid  workers
1493,business who,added to,basic Income Tax amount
1495,2 Section EStG,is,Section 13a
1497,useful  employees,work to,appropriate  extent
1498,initial Section EStG,applicable,individual  cases
1499,initial  value,i,special value uses
1501,when time see,required,also Annex ESt
1505,value,is,physical 13a Para
