,sentence
243,VI Determination of the book values ​​of the land according to § 55 Paragraph 1 to 4 EStG1 General Reference is made to the wording of § 55 Paragraph 1 to 4 EStG and to No. 10 of the decree of 10 3 1972
244,2 starting amounts according to § 55 para 2 no
245,"1 and 2 to 8 EStG in cases in which the actual use on July 1, 1970 deviates from the use entered in the real estate cadastre"
246,"If the taxpayer proves that the actual use of areas on July 1, 1970 deviates from the use entered in the real estate cadastre, and if there are no yield indicators for these areas in the real estate cadastre, the starting amount must be determined in accordance with Section 55 (3) EStG"
247,The aforementioned legal provision regulates the cases mentioned conclusively
248,A later correction of the thus determined starting amounts after carrying out the land appraisal and determining the yield figures is not possible (see No. 10 Paragraph 9 of the decree of 10 3 1972)
249,"VII Determination of the higher partial value according to § 55 Paragraph 5 EStG1 Application, determination and determination"
250,§ 86 AO possible) at the company tax office
251,"Evidence can be provided in different ways: reference to comparable property sales, to a development plan existing on 1 July 1970, appraisal of the municipality"
252,"For further details, reference is made to No. 11 of the decree of 10 3 1972 and the decree of 9 6 1972"
253,2 Simplification regulation In No. 11 of the decree of 10 3 1972 it was determined that in the case of sales or withdrawals before 1 7 1972 it can be assumed that the partial value of the land on 1 7 1970 is usually the sale price or
254,"The withdrawal value corresponds, unless special circumstances (cf. decree of 9 6 1972) have led to a significant increase in value"
255,Such value-increasing circumstances always exist when the sales price or
256,the withdrawal value by more than 30%
257,deviates upwards from the partial value on 1 7 1970
258,"This also applies to business sales or business closures before 1 7 1972. If the simplification rule comes into play, a formal determination of the higher partial value (in the amount of the sales proceeds minus the sales costs or sales costs) can be made in sales or withdrawal cases up to 30 6 1972"
259,the withdrawal value)
260,But this has to be put on record
261,"3 Effects of the determination on other types of tax The determination of a higher partial value for the land can, according to Section 69 (4) BewG (from 1 1 1974), mean that the property must be added to the real estate in the course of a subsequent determination (e.g."
262,if arable land became building land)
263,"This subsequent assessment has effects in individual cases on the property tax, u"
264,Property tax and inheritance tax
265,"However, the attribution to agricultural and forestry assets does not change if the increase in value is based on reasons that are to be sought in the agricultural sector"
